sequence,GasSensor
0,1424
1,1423
2,1423
3,1423
4,1423
5,1423
6,1423
7,1423
8,1423
9,1423
10,1423
11,1423
12,1423
13,1423
14,1422
15,1422
16,1422
17,1422
18,1422
19,1421
20,1421
21,1421
22,1421
23,1420
24,1420
25,1420
26,1420
27,1420
28,1419
29,1419
30,1419
31,1418
32,1418
33,1418
34,1417
35,1417
36,1416
37,1416
38,1416
39,1415
40,1415
41,1415
42,1414
43,1414
44,1414
45,1413
46,1413
47,1413
48,1412
49,1412
50,1412
51,1411
52,1411
53,1410
54,1410
55,1410
56,1409
57,1409
58,1409
59,1409
60,1408
61,1408
62,1408
63,1407
64,1407
65,1407
66,1406
67,1406
68,1406
69,1406
70,1405
71,1405
72,1405
73,1405
74,1405
75,1405
76,1404
77,1404
78,1404
79,1404
80,1404
81,1404
82,1404
83,1404
84,1404
85,1404
86,1404
87,1404
88,1404
89,1405
90,1405
91,1405
92,1405
93,1405
94,1406
95,1406
96,1406
97,1406
98,1407
99,1407
100,1407
101,1408
102,1408
103,1409
104,1409
105,1409
106,1410
107,1411
108,1411
109,1411
110,1412
111,1412
112,1413
113,1413
114,1414
115,1414
116,1415
117,1415
118,1415
119,1416
120,1417
121,1417
122,1417
123,1418
124,1418
125,1418
126,1419
127,1419
128,1419
129,1420
130,1420
131,1420
132,1421
133,1421
134,1421
135,1422
136,1422
137,1422
138,1423
139,1423
140,1423
141,1424
142,1424
143,1424
144,1424
145,1425
146,1425
147,1425
148,1426
149,1426
150,1426
151,1426
152,1426
153,1427
154,1427
155,1427
156,1427
157,1428
158,1428
159,1428
160,1428
161,1428
162,1429
163,1429
164,1429
165,1429
166,1429
167,1429
168,1429
169,1430
170,1430
171,1430
172,1430
173,1430
174,1430
175,1430
176,1431
177,1431
178,1431
179,1431
180,1431
181,1431
182,1432
183,1432
184,1432
185,1433
186,1433
187,1433
188,1434
189,1434
190,1434
191,1435
192,1435
193,1435
194,1436
195,1437
196,1437
197,1438
198,1439
199,1439
200,1440
201,1441
202,1441
203,1442
204,1443
205,1443
206,1444
207,1445
208,1445
209,1446
210,1448
211,1448
212,1449
213,1450
214,1450
215,1452
216,1453
217,1454
218,1454
219,1455
220,1457
221,1457
222,1458
223,1459
224,1459
225,1460
226,1462
227,1462
228,1463
229,1464
230,1464
231,1465
232,1466
233,1466
234,1467
235,1468
236,1468
237,1469
238,1470
239,1470
240,1471
241,1471
242,1472
243,1472
244,1472
245,1472
246,1472
247,1472
248,1472
249,1472
250,1472
251,1471
252,1471
253,1470
254,1468
255,1468
256,1467
257,1465
258,1465
259,1463
260,1461
261,1461
262,1459
263,1457
264,1457
265,1455
266,1453
267,1452
268,1452
269,1450
270,1450
271,1450
272,1449
273,1449
274,1449
275,1450
276,1450
277,1450
278,1451
279,1453
280,1453
281,1454
282,1455
283,1455
284,1457
285,1459
286,1459
287,1461
288,1463
289,1463
290,1464
291,1466
292,1468
293,1468
294,1470
295,1471
296,1471
297,1473
298,1475
299,1475
300,1476
301,1477
302,1477
303,1479
304,1480
305,1480
306,1481
307,1482
308,1482
309,1483
310,1483
311,1483
