sequence,GasSensor
0,228
1,228
2,228
3,228
4,228
5,228
6,228
7,228
8,228
9,228
10,228
11,228
12,228
13,228
14,228
15,228
16,228
17,228
18,228
19,228
20,228
21,228
22,228
23,228
24,228
25,228
26,228
27,228
28,228
29,228
30,228
31,228
32,228
33,228
34,228
35,228
36,228
37,228
38,228
39,228
40,228
41,228
42,228
43,228
44,228
45,228
46,228
47,228
48,228
49,228
50,228
51,228
52,228
53,228
54,228
55,228
56,228
57,228
58,228
59,228
60,228
61,228
62,228
63,228
64,228
65,228
66,228
67,228
68,228
69,228
70,228
71,228
72,228
73,228
74,228
75,228
76,228
77,228
78,228
79,228
80,228
81,228
82,228
83,228
84,228
85,228
86,228
87,228
88,228
89,228
90,228
91,228
92,228
93,228
94,228
95,228
96,228
97,228
98,228
99,228
100,228
101,228
102,228
103,228
104,228
105,228
106,228
107,228
108,228
109,228
110,228
111,228
112,228
113,228
114,228
115,228
116,228
117,228
118,228
119,228
120,228
121,228
122,228
123,228
124,228
125,228
126,228
127,228
128,228
129,228
130,228
131,228
132,228
133,228
134,228
135,228
136,228
137,228
138,228
139,228
140,228
141,228
142,228
143,228
144,228
145,228
146,228
147,228
148,228
149,228
150,228
151,228
152,228
153,228
154,228
155,228
156,228
157,228
158,228
159,228
160,228
161,228
162,228
163,228
164,228
165,228
166,228
167,228
168,228
169,228
170,228
171,228
172,228
173,228
174,228
175,228
176,228
177,228
178,228
179,228
180,228
181,228
182,228
183,228
184,228
185,228
186,228
187,228
188,228
189,228
190,228
191,228
192,228
193,228
194,228
195,228
196,228
197,228
198,228
199,228
200,228
201,228
202,228
203,228
204,228
205,228
206,228
207,228
208,228
209,228
210,228
211,228
212,228
213,228
214,228
215,228
216,228
217,228
218,228
219,228
220,228
221,228
222,228
223,228
224,228
225,228
226,228
227,228
228,228
229,228
230,228
231,228
232,228
233,228
234,228
235,228
236,228
237,228
238,228
239,228
240,228
241,228
242,228
243,228
244,228
245,228
246,228
247,228
248,228
249,228
250,228
251,228
252,228
253,228
254,228
255,228
256,228
257,228
258,228
259,228
260,228
261,228
262,228
263,228
264,228
265,228
266,228
267,228
268,228
269,228
270,228
271,228
272,228
273,228
274,228
275,228
276,228
277,228
278,228
279,228
280,228
281,228
282,228
283,228
284,228
285,228
286,228
287,228
288,228
289,228
290,228
291,228
292,228
293,228
294,228
295,228
296,228
297,228
298,228
299,228
300,228
301,228
302,228
303,228
304,228
305,228
306,228
307,228
308,228
309,228
310,228
311,228
312,228
313,228
314,228
315,228
316,228
317,228
318,228
319,228
320,228
321,228
322,228
323,228
324,228
325,228
326,228
327,228
328,228
329,228
330,228
331,228
332,228
333,228
334,228
335,228
336,228
337,228
338,228
339,228
340,228
341,228
342,228
343,228
344,228
345,228
346,228
347,228
348,228
349,228
350,228
351,228
352,228
353,228
354,228
355,228
356,228
357,228
358,228
359,228
360,228
361,228
362,228
363,228
364,228
365,228
366,228
367,228
368,228
369,228
370,228
371,228
372,228
373,228
374,228
375,228
376,228
377,228
378,228
379,228
380,228
381,228
382,228
383,228
384,228
385,228
386,228
387,228
388,228
389,228
390,228
391,228
392,228
393,228
394,228
395,228
396,228
397,228
398,228
399,228
400,228
401,228
402,228
403,228
404,228
405,228
406,228
407,228
408,228
409,228
410,228
411,228
412,228
413,228
414,228
415,228
416,228
417,228
418,228
419,228
420,228
421,228
422,228
423,228
424,228
425,228
426,228
427,228
428,228
429,228
430,228
431,228
432,228
433,228
434,228
435,228
436,228
437,228
438,228
439,228
440,228
441,228
442,228
443,228
444,228
445,228
446,228
447,228
448,228
449,228
450,228
451,228
452,228
453,228
454,228
455,228
456,228
457,228
458,228
459,228
460,228
461,228
462,228
463,228
464,228
465,228
466,228
467,228
468,228
469,228
470,228
471,228
472,228
473,228
474,228
475,228
476,228
477,228
478,228
479,228
480,228
481,228
482,228
483,228
484,228
485,228
486,228
487,228
488,228
489,228
490,228
491,228
492,228
493,228
494,228
495,228
496,228
497,228
498,228
499,228
500,228
501,228
502,228
503,228
504,228
505,228
506,228
